"fighter","date","current_lose_streak","current_win_streak","draw","avg_BODY_att","avg_BODY_landed","avg_CLINCH_att","avg_CLINCH_landed","avg_DISTANCE_att","avg_DISTANCE_landed","avg_GROUND_att","avg_GROUND_landed","avg_HEAD_att","avg_HEAD_landed","avg_KD","avg_LEG_att","avg_LEG_landed","avg_PASS","avg_REV","avg_SIG_STR_att","avg_SIG_STR_landed","avg_SIG_STR_pct","avg_SUB_ATT","avg_TD_att","avg_TD_landed","avg_TD_pct","avg_TOTAL_STR_att","avg_TOTAL_STR_landed","longest_win_streak","losses","avg_opp_BODY_att","avg_opp_BODY_landed","avg_opp_CLINCH_att","avg_opp_CLINCH_landed","avg_opp_DISTANCE_att","avg_opp_DISTANCE_landed","avg_opp_GROUND_att","avg_opp_GROUND_landed","avg_opp_HEAD_att","avg_opp_HEAD_landed","avg_opp_KD","avg_opp_LEG_att","avg_opp_LEG_landed","avg_opp_PASS","avg_opp_REV","avg_opp_SIG_STR_att","avg_opp_SIG_STR_landed","avg_opp_SIG_STR_pct","avg_opp_SUB_ATT","avg_opp_TD_att","avg_opp_TD_landed","avg_opp_TD_pct","avg_opp_TOTAL_STR_att","avg_opp_TOTAL_STR_landed","total_rounds_fought","total_time_fought.seconds.","total_title_bouts","win_by_Decision_Majority","win_by_Decision_Split","win_by_Decision_Unanimous","win_by_KO.TKO","win_by_Submission","win_by_TKO_Doctor_Stoppage","wins","Stance","Height_cms","Reach_cms","Weight_lbs","age","DistanceAtt","CloseAtt","GroundAtt","DistanceDef","CloseDef","GroundDef","HeadAttactPct","HeadAttactAccuracy","BodyAttactPct","BodyAttactAccuracy","LegAttactPct","LegAttactAccuracy","distance_att","close_att","ground_att","distance_def","close_def","ground_def","total_normal_att","head_att_pct","head_att_acc","body_att_pct","body_att_acc","leg_att_pct","leg_att_acc","url"
"Aaron Phillips",2016-09-17,1,0,0,14,12,6,3,26,9,8,6,23,5,0,3,1,1,1,40,18,0.45,1,0,0,0,137,109,0,1,13,8,6,4,31,12,31,21,53,28,0,2,1,7,1,68,37,0.54,1,8,5,0.62,129,95,3,900,0,0,0,0,0,0,0,0,"Southpaw",175.26,177.8,135,25,0.346153846153846,0.5,0.75,0.612903225806452,0.333333333333333,0.32258064516129,0.575,0.217391304347826,0.35,0.857142857142857,0.075,0.333333333333333,0.346153846153846,0.5,0.75,0.612903225806452,0.333333333333333,0.32258064516129,40,0.575,0.217391304347826,0.35,0.857142857142857,0.075,0.333333333333333,"/fighter/Aaron-Phillips-55298"
"Aaron Riley",2019-03-23,1,0,0,20,18,47,24,83,31,0,0,83,18,0,27,19,1,0,130,55,0.42,1,3,0,0,170,93,0,1,11,9,41,21,94,34,18,9,137,52,1,5,3,0,0,153,64,0.41,0,8,6,0.75,176,87,3,900,0,0,0,0,0,0,0,0,"Southpaw",172.72,175.26,155,25,0.373493975903614,0.51063829787234,0,0.638297872340426,0.48780487804878,0.5,0.638461538461538,0.216867469879518,0.153846153846154,0.9,0.207692307692308,0.703703703703704,0.373493975903614,0.51063829787234,0,0.638297872340426,0.48780487804878,0.5,130,0.638461538461538,0.216867469879518,0.153846153846154,0.9,0.207692307692308,0.703703703703704,"/fighter/Aaron-Riley-1567"
"Aaron Rosa",2017-12-16,1,0,0,16,13,19,11,160,62,0,0,158,56,0,5,4,0,0,179,73,0.4,0,1,0,0,258,135,0,1,19,16,27,22,154,59,7,7,146,53,0,23,19,1,0,188,88,0.46,0,4,1,0.25,304,185,3,686,0,0,0,0,0,0,0,0,"Orthodox",193.04,198.12,205,28,0.3875,0.578947368421053,0,0.616883116883117,0.185185185185185,0,0.88268156424581,0.354430379746835,0.0893854748603352,0.8125,0.0279329608938547,0.8,0.3875,0.578947368421053,0,0.616883116883117,0.185185185185185,0,179,0.88268156424581,0.354430379746835,0.0893854748603352,0.8125,0.0279329608938547,0.8,"/fighter/Aaron-Rosa-15129"
"Aaron Simpson",2019-01-19,0,3,0,8.666666667,5.666666667,14,8,30.33333333,8.333333333,17.33333333,9.333333333,50.66666667,18,0.666666667,2.333333333,2,1,0,61.66666667,25.66666667,0.473333333,0,3.333333333,2,0.776666667,85,46.66666667,3,0,1.666666667,1.333333333,20.66666667,11,33.33333333,8.666666667,0.666666667,0.333333333,53,18.66666667,0,0,0,0,0,54.66666667,20,0.286666667,0.666666667,2,0.333333333,0.053333333,60,25.33333333,6,439,0,0,1,0,2,0,0,3,"Orthodox",182.88,185.42,170,35,0.274725274744475,0.571428571428571,0.538461538545858,0.739999999964,0.467741935569719,0.50000000075,0.821621621631264,0.355263157871364,0.140540540538349,0.653846153859468,0.0378378378303871,0.857142857265306,0.274725274744475,0.571428571428571,0.538461538545858,0.739999999964,0.467741935569719,0.50000000075,61.66666667,0.821621621631264,0.355263157871364,0.140540540538349,0.653846153859468,0.0378378378303871,0.857142857265306,"/fighter/Aaron-Simpson-24986"
"Abdul Razak Alhassan",2017-10-07,0,2,0,2,1.25,7,4.75,45.75,18.25,1,0.75,48.5,20.5,1.25,3.25,2,0,0.25,53.75,23.75,0.45,0,0.75,0.25,0.0825,59,27.5,2,1,7.25,5.75,8.25,6.25,48,14.75,6.75,4.25,53.75,17.5,0,2,2,0.75,0,63,25.25,0.36,0,3.25,1.75,0.29,79,37.75,6,360.25,0,0,0,0,3,0,0,3,"Orthodox",177.8,185.42,170,33,0.398907103825137,0.678571428571429,0.75,0.692708333333333,0.242424242424242,0.37037037037037,0.902325581395349,0.422680412371134,0.0372093023255814,0.625,0.0604651162790698,0.615384615384615,0.398907103825137,0.678571428571429,0.75,0.692708333333333,0.242424242424242,0.37037037037037,53.75,0.902325581395349,0.422680412371134,0.0372093023255814,0.625,0.0604651162790698,0.615384615384615,NA
"Abel Trujillo",2019-03-09,0,1,0,12.75,11.25,14.75,12.5,42,13.75,16.25,14,56.5,25.25,0.25,3.75,3.75,1,0,73,40.25,0.5475,0.5,2.25,2,0.9575,88.75,54.25,1,2,3.75,2.75,4.5,2.75,36.5,13.5,7.25,4.75,38.25,13.75,0,6.25,4.5,0.75,0,48.25,21,0.4525,1.25,10.75,6.75,0.4425,59,30,9,607,0,0,0,0,2,0,0,2,"Orthodox",172.72,177.8,155,30,0.327380952380952,0.847457627118644,0.861538461538462,0.63013698630137,0.388888888888889,0.344827586206897,0.773972602739726,0.446902654867257,0.174657534246575,0.882352941176471,0.0513698630136986,1,0.327380952380952,0.847457627118644,0.861538461538462,0.63013698630137,0.388888888888889,0.344827586206897,73,0.773972602739726,0.446902654867257,0.174657534246575,0.882352941176471,0.0513698630136986,1,"/fighter/Abel-Trujillo-17129"
"Adam Milstead",2019-04-27,2,0,0,5,3.666666667,11,7.333333333,71.33333333,30.66666667,1,1,76.33333333,33.33333333,0,2,2,0,0,83.33333333,39,0.643333333,0,0,0,0,89.66666667,44.66666667,1,2,7,5.666666667,4.333333333,3,65.66666667,30.33333333,9,7.666666667,62.66666667,26.33333333,0,9.333333333,9,0.333333333,0,79,41,0.563333333,0,9.333333333,3.333333333,0.326666667,145.6666667,97,7,600,0,0,0,0,1,0,0,1,"Orthodox",190.5,193.04,205,31,0.429906542122893,0.666666666636364,1,0.538071066064057,0.307692307639053,0.148148148111111,0.91599999999664,0.436681222682824,0.0600000000024,0.7333333334,0.02400000000096,1,0.429906542122893,0.666666666636364,1,0.538071066064057,0.307692307639053,0.148148148111111,83.33333333,0.91599999999664,0.436681222682824,0.0600000000024,0.7333333334,0.02400000000096,1,NA
"Adam Wieczorek",2013-07-27,0,1,0,16,15,11,11,77,26,7,5,74,23,0,5,4,1,0,95,42,0.44,0,1,0,0,129,73,1,0,22,21,6,6,36,11,15,15,28,6,0,7,5,5,0,57,32,0.56,0,9,2,0.22,75,44,3,900,0,0,0,1,0,0,0,1,"Orthodox",195.58,205.74,250,26,0.337662337662338,1,0.714285714285714,0.694444444444444,0,0,0.778947368421053,0.310810810810811,0.168421052631579,0.9375,0.0526315789473684,0.8,0.337662337662338,1,0.714285714285714,0.694444444444444,0,0,95,0.778947368421053,0.310810810810811,0.168421052631579,0.9375,0.0526315789473684,0.8,NA
"Adlan Amagov",2018-01-14,0,1,0,9,5,16,10,77,26,6,2,53,12,0,37,21,1,0,99,38,0.38,0,10,6,0.6,118,57,1,0,4,1,4,1,53,4,0,0,44,1,0,9,3,0,0,57,5,0.08,0,0,0,0,76,24,3,900,0,0,0,1,0,0,0,1,"Orthodox",187.96,193.04,170,26,0.337662337662338,0.625,0.333333333333333,0.924528301886792,0.75,0,0.535353535353535,0.226415094339623,0.0909090909090909,0.555555555555556,0.373737373737374,0.567567567567568,0.337662337662338,0.625,0.333333333333333,0.924528301886792,0.75,0,99,0.535353535353535,0.226415094339623,0.0909090909090909,0.555555555555556,0.373737373737374,0.567567567567568,"/fighter/Adlan-Amagov-41523"
"Adriano Martins",2017-07-07,0,3,0,1.4,1,0.6,0,21.2,9.2,2.2,1.4,20.8,7.8,0.4,1.8,1.8,1.2,0,24,10.6,0.452,0.2,1,0.8,0.35,30,16.2,3,1,7.4,4,0.6,0.2,41.2,11.6,0,0,27.6,3.8,0.2,6.8,4,0,0,41.8,11.8,0.292,0,1.2,0.2,0.2,42.2,12.2,8,379.2,0,0,1,0,2,1,0,4,"Southpaw",177.8,182.88,155,33,0.433962264150943,0,0.636363636363636,0.718446601941748,0.666666666666667,0,0.866666666666667,0.375,0.0583333333333333,0.714285714285714,0.075,1,0.433962264150943,0,0.636363636363636,0.718446601941748,0.666666666666667,0,24,0.866666666666667,0.375,0.0583333333333333,0.714285714285714,0.075,1,"/fighter/Adriano-Martins-9907"
