"fighter","date","current_lose_streak","current_win_streak","draw","avg_BODY_att","avg_BODY_landed","avg_CLINCH_att","avg_CLINCH_landed","avg_DISTANCE_att","avg_DISTANCE_landed","avg_GROUND_att","avg_GROUND_landed","avg_HEAD_att","avg_HEAD_landed","avg_KD","avg_LEG_att","avg_LEG_landed","avg_PASS","avg_REV","avg_SIG_STR_att","avg_SIG_STR_landed","avg_SIG_STR_pct","avg_SUB_ATT","avg_TD_att","avg_TD_landed","avg_TD_pct","avg_TOTAL_STR_att","avg_TOTAL_STR_landed","longest_win_streak","losses","avg_opp_BODY_att","avg_opp_BODY_landed","avg_opp_CLINCH_att","avg_opp_CLINCH_landed","avg_opp_DISTANCE_att","avg_opp_DISTANCE_landed","avg_opp_GROUND_att","avg_opp_GROUND_landed","avg_opp_HEAD_att","avg_opp_HEAD_landed","avg_opp_KD","avg_opp_LEG_att","avg_opp_LEG_landed","avg_opp_PASS","avg_opp_REV","avg_opp_SIG_STR_att","avg_opp_SIG_STR_landed","avg_opp_SIG_STR_pct","avg_opp_SUB_ATT","avg_opp_TD_att","avg_opp_TD_landed","avg_opp_TD_pct","avg_opp_TOTAL_STR_att","avg_opp_TOTAL_STR_landed","total_rounds_fought","total_time_fought.seconds.","total_title_bouts","win_by_Decision_Majority","win_by_Decision_Split","win_by_Decision_Unanimous","win_by_KO.TKO","win_by_Submission","win_by_TKO_Doctor_Stoppage","wins","Stance","Height_cms","Reach_cms","Weight_lbs","age","distance_att","close_att","ground_att","distance_def","close_def","ground_def","total_normal_att","head_att_pct","head_att_acc","body_att_pct","body_att_acc","leg_att_pct","leg_att_acc","url"
"Aaron Phillips","2014-08-23",1,0,0,14,12,6,3,26,9,8,6,23,5,0,3,1,1,1,40,18,0.45,1,0,0,0,137,109,0,1,13,8,6,4,31,12,31,21,53,28,0,2,1,7,1,68,37,0.54,1,8,5,0.62,129,95,3,900,0,0,0,0,0,0,0,0,"Southpaw",175.26,177.8,135,25,0.346153846153846,0.5,0.75,0.612903225806452,0.333333333333333,0.32258064516129,40,0.575,0.217391304347826,0.35,0.857142857142857,0.075,0.333333333333333,"/fighter/Aaron-Phillips-55298"
"Aaron Riley","2013-07-27",1,0,0,13.5,10.5,19.625,12.375,68.125,20.875,3.75,2.75,66.25,17.125,0,11.75,8.375,0.875,0,91.5,36,0.36875,0.125,2.875,1,0.28375,127.25,69.375,1,5,14,11.5,19.625,11.5,79.25,26.875,2.875,1.5,82.625,26,0.25,5.125,2.375,0,0,101.75,39.875,0.38875,0,2.375,1,0.1875,118.125,55.625,17,602.75,0,0,0,3,0,0,0,3,"Southpaw",172.72,175.26,155,32,0.306422018348624,0.630573248407643,0.733333333333333,0.660883280757098,0.414012738853503,0.478260869565217,91.5,0.724043715846995,0.258490566037736,0.147540983606557,0.777777777777778,0.128415300546448,0.712765957446808,"/fighter/Aaron-Riley-1567"
"Aaron Rosa","2012-03-02",0,1,0,23.5,21,31.5,26,107.5,40,0,0,110.5,40.5,0,5,4.5,0,0,139,66,0.495,0,0.5,0,0,284.5,195.5,1,1,9.5,8,15.5,13,94,36.5,4,4,92.5,36,0,11.5,9.5,1,0,113.5,53.5,0.47,0,7,1,0.175,189.5,116.5,6,793,0,1,0,0,0,0,0,1,"Orthodox",193.04,198.12,205,28,0.372093023255814,0.825396825396825,0,0.611702127659574,0.161290322580645,0,139,0.794964028776978,0.366515837104072,0.169064748201439,0.893617021276596,0.0359712230215827,0.9,"/fighter/Aaron-Rosa-15129"
"Aaron Simpson","2012-10-05",0,1,0,13.1,9.3,23.2,17,43.4,15.4,15,10.2,57.6,23,0.5,10.9,10.3,1.1,0,81.6,42.6,0.55,0.3,9.1,3.1,0.391,119.3,75,3,3,6.5,5.1,22.5,14.3,45.8,14.4,2.6,2.3,55.7,18.4,0,8.7,7.5,0.1,0.1,70.9,31,0.445,0.2,2.8,0.5,0.099,88.2,47.2,26,727.4,0,0,1,4,2,0,0,7,"Orthodox",182.88,185.42,170,38,0.354838709677419,0.732758620689655,0.68,0.685589519650655,0.364444444444444,0.115384615384616,81.6,0.705882352941176,0.399305555555556,0.160539215686274,0.709923664122137,0.133578431372549,0.944954128440367,"/fighter/Aaron-Simpson-24986"
"Abdul Razak Alhassan","2018-09-08",0,2,0,2,1.25,7,4.75,45.75,18.25,1,0.75,48.5,20.5,1.25,3.25,2,0,0.25,53.75,23.75,0.45,0,0.75,0.25,0.0825,59,27.5,2,1,7.25,5.75,8.25,6.25,48,14.75,6.75,4.25,53.75,17.5,0,2,2,0.75,0,63,25.25,0.36,0,3.25,1.75,0.29,79,37.75,6,360.25,0,0,0,0,3,0,0,3,"Orthodox",177.8,185.42,170,33,0.398907103825137,0.678571428571429,0.75,0.692708333333333,0.242424242424242,0.37037037037037,53.75,0.902325581395349,0.422680412371134,0.0372093023255814,0.625,0.0604651162790698,0.615384615384615,NA
"Abel Trujillo","2017-12-16",1,0,0,6.9,5.6,9.4,6.2,39.5,11.7,8.2,6.5,48.6,17.2,0.3,1.6,1.6,0.4,0,57.1,24.4,0.372,0.3,2.7,1.4,0.543,67.4,34,3,4,4.1,2.8,6.2,3.5,38.5,12.9,3.9,2.7,40.5,13.6,0,4,2.7,1.1,0,48.6,19.1,0.423,1.2,5.7,3.4,0.521,60.9,29.2,21,529.1,0,0,0,1,3,1,0,6,"Orthodox",172.72,177.8,155,34,0.29620253164557,0.659574468085106,0.792682926829268,0.664935064935065,0.435483870967742,0.307692307692308,57.1,0.851138353765324,0.353909465020576,0.120840630472855,0.811594202898551,0.0280210157618214,1,"/fighter/Abel-Trujillo-17129"
"Adam Milstead","2018-12-15",2,0,0,5,3.666666667,11,7.333333333,71.33333333,30.66666667,1,1,76.33333333,33.33333333,0,2,2,0,0,83.33333333,39,0.643333333,0,0,0,0,89.66666667,44.66666667,1,2,7,5.666666667,4.333333333,3,65.66666667,30.33333333,9,7.666666667,62.66666667,26.33333333,0,9.333333333,9,0.333333333,0,79,41,0.563333333,0,9.333333333,3.333333333,0.326666667,145.6666667,97,7,600,0,0,0,0,1,0,0,1,"Orthodox",190.5,193.04,205,31,0.429906542122893,0.666666666636364,1,0.538071066064057,0.307692307639053,0.148148148111111,83.33333333,0.91599999999664,0.436681222682824,0.0600000000024,0.7333333334,0.02400000000096,1,NA
"Adam Wieczorek","2018-11-03",0,2,0,11,9.5,6,6,49.5,18,5.5,3.5,44,12.5,0,6,5.5,0.5,0,61,27.5,0.46,0.5,0.5,0,0,78.5,43.5,2,0,11,10.5,3.5,3.5,23.5,8,10.5,9,23,7.5,0,3.5,2.5,3,0,37.5,20.5,0.53,0,6,2,0.44,67.5,43,5,659.5,0,0,0,1,0,1,0,2,"Orthodox",195.58,205.74,250,26,0.363636363636364,1,0.636363636363636,0.659574468085106,0,0.142857142857143,61,0.721311475409836,0.284090909090909,0.180327868852459,0.863636363636364,0.0983606557377049,0.916666666666667,NA
"Adlan Amagov","2013-10-19",0,1,0,9,5,16,10,77,26,6,2,53,12,0,37,21,1,0,99,38,0.38,0,10,6,0.6,118,57,1,0,4,1,4,1,53,4,0,0,44,1,0,9,3,0,0,57,5,0.08,0,0,0,0,76,24,3,900,0,0,0,1,0,0,0,1,"Orthodox",187.96,193.04,170,26,0.337662337662338,0.625,0.333333333333333,0.924528301886792,0.75,0,99,0.535353535353535,0.226415094339623,0.0909090909090909,0.555555555555556,0.373737373737374,0.567567567567568,"/fighter/Adlan-Amagov-41523"
"Adriano Martins","2017-09-09",1,0,0,2.833333333,1.833333333,0.5,0,31.5,13.33333333,1.833333333,1.166666667,25.33333333,7.833333333,0.333333333,5.666666667,4.833333333,1,0,33.83333333,14.5,0.443333333,0.166666667,0.833333333,0.666666667,0.291666667,39,19.16666667,3,2,8.833333333,4.5,0.666666667,0.333333333,45.83333333,13.33333333,0,0,30.83333333,4.666666667,0.166666667,6.833333333,4.5,0,0,46.5,13.66666667,0.296666667,0,1.166666667,0.166666667,0.166666667,46.83333333,14,11,466,0,0,1,0,2,1,0,4,"Southpaw",177.8,182.88,155,34,0.423280423174603,0,0.636363636661157,0.709090909142479,0.50000000075,0,33.83333333,0.748768472881652,0.309210526343317,0.0837438423629304,0.647058823487889,0.167487684755418,0.852941176361592,"/fighter/Adriano-Martins-9907"
"Aiemann Zahabi","2019-05-04",1,0,0,8.5,5.5,5,3.5,101,40,2.5,1.5,99,38.5,0.5,1,1,0.5,0.5,108.5,45,0.41,0,0.5,0,0,109.5,46,1,1,15,7.5,3,1.5,136,48.5,3,3,106,28.5,0.5,21,17,0.5,0,142,53,0.385,0,9,2.5,0.375,148,59,6,809,0,0,0,1,0,0,0,1,"Orthodox",172.72,172.72,135,31,0.396039603960396,0.7,0.6,0.643382352941176,0.5,0,108.5,0.912442396313364,0.388888888888889,0.0783410138248848,0.647058823529412,0.00921658986175115,1,NA
"Aisling Daly","2015-10-24",1,0,0,7.5,6,9,7,27,7,9.5,7.5,35.5,14,0,2.5,1.5,2.5,0,45.5,21.5,0.51,1,3.5,1.5,0.45,80,51,1,1,2.5,2,6,4,24.5,8.5,3,2.5,27.5,10,0,3.5,3,2.5,0,33.5,15,0.57,0.5,2.5,1.5,0.75,93,71.5,4,596.5,0,0,0,0,0,1,0,1,"Orthodox",157.48,162.56,115,27,0.259259259259259,0.777777777777778,0.789473684210526,0.653061224489796,0.333333333333333,0.166666666666667,45.5,0.78021978021978,0.394366197183099,0.164835164835165,0.8,0.0549450549450549,0.6,"/fighter/Aisling-Daly-25245"
"Akbarh Arreola","2015-11-14",1,0,0,11,8.333333333,2,1.333333333,51,20.33333333,4.666666667,3.666666667,39,11.33333333,0.333333333,7.666666667,5.666666667,1.333333333,0,57.66666667,25.33333333,0.44,0.333333333,1,1,0.666666667,75.33333333,41.33333333,1,2,9.666666667,4.666666667,13.66666667,9.333333333,70,20.33333333,13.66666667,5.666666667,70.33333333,16.66666667,0,17.33333333,14,0,0,97.33333333,35.33333333,0.353333333,0,1,1,0.333333333,126,61.33333333,7,637.3333333,0,0,0,0,0,1,0,1,"Southpaw",177.8,180.34,155,32,0.398692810392157,0.6666666665,0.785714285729592,0.709523809571429,0.317073170922665,0.585365853735277,57.666666667,0.676300578030773,0.290598290512821,0.190751445085603,0.757575757545455,0.132947976883625,0.739130434793951,"/fighter/Akbarh-Arreola-6120"
"Akihiro Gono","2009-01-31",1,0,0,16.5,11.5,6,3.5,65.5,35,4,3,38,16,0.5,21,14,2,0,75.5,41.5,0.565,0.5,2.5,2,0.875,82.5,48.5,1,1,16.5,11,22.5,9,101.5,35,0,0,87,19,0,20.5,14,0,0,124,44,0.4,0,0,0,0,126.5,46.5,5,699.5,0,0,0,0,0,1,0,1,"Switch",170.18,172.72,170,34,0.534351145038168,0.583333333333333,0.75,0.655172413793103,0.6,0,75.5,0.503311258278146,0.421052631578947,0.218543046357616,0.696969696969697,0.278145695364238,0.666666666666667,"/fighter/Akihiro-Gono-1217"
"Akira Corassani","2015-01-24",2,0,0,7,5.4,5.4,3.6,49.8,22.2,0,0,41.4,15,0,6.8,5.4,0.2,0,55.2,25.8,0.452,0,1.4,0.4,0.066,58.4,28.8,3,2,11.4,8,13.6,10.8,58.4,22.8,7.2,6.4,61.4,26.4,0.6,6.4,5.6,0,0,79.2,40,0.552,0.2,3,0.4,0.218,97.8,57.4,10,471.6,0,0,1,1,0,0,0,3,"Orthodox",172.72,172.72,145,32,0.44578313253012,0.666666666666667,0,0.60958904109589,0.205882352941176,0.111111111111111,55.2,0.75,0.36231884057971,0.126811594202899,0.771428571428571,0.123188405797101,0.794117647058824,"/fighter/Akira-Corassani-22641"
"Al Iaquinta","2019-05-04",0,1,0,15,9.333333333,4.25,2.583333333,120.8333333,48.16666667,3.25,2.333333333,106.1666667,37.16666667,0.583333333,7.166666667,6.583333333,0.5,0,128.3333333,53.08333333,0.445,0.25,2.916666667,0.666666667,0.215,131.8333333,56.08333333,5,3,10.08333333,6.666666667,2.166666667,0.75,124.5,43.25,8.083333333,5.916666667,118.5833333,38.41666667,0,6.083333333,4.833333333,1.083333333,0,134.75,49.91666667,0.370833333,0.416666667,4.416666667,1.166666667,0.148333333,145.75,59.25,33,740.0833333,2,0,1,4,4,0,0,9,"Orthodox",177.8,177.8,155,32,0.398620689792723,0.607843137176471,0.717948717846154,0.652610441767068,0.653846153899408,0.268041237041981,128.333333367,0.827272727315443,0.350078492857118,0.116883116852454,0.6222222222,0.0558441558321032,0.918604651073553,"/fighter/Al-Iaquinta-42817"
