url,fid,name,nick,birth_date,height,weight,association,class,locality,country,
/fighter/Jim-Mullen-155,155,Jim Mullen,,,73,215,,Heavyweight,"Simi Valley, California",United States,
/fighter/Sam-Fulton-141,141,Sam Fulton,,,74,250,,Heavyweight,"Athens, Alabama",United States,
/fighter/Melton-Bowen-51,51,Melton Bowen,The Punisher,3/10/1969,72,225,,Heavyweight,"Irmo, South Carolina",United States,
/fighter/Bob-Gilstrap-197,197,Bob Gilstrap,,7/16/1974,75,210,,Heavyweight,"Seattle, Washington",United States,
/fighter/Keith-Mielke-123,123,Keith Mielke,,,69,187,,N/A,"San Diego, California",United States,
/fighter/Justin-Eilers-5936,5936,Justin Eilers,,6/28/1978,73,235,Miletich Martial Arts,Heavyweight,"Nampa, Idaho",United States,
/fighter/Jeff-Newton-3263,3263,Jeff Newton,,,74,204,Todd Medina Freestyle Team,Light Heavyweight,"Costa Mesa, California",United States,
/fighter/Koji-Kitao-134,134,Koji Kitao,Mitsuharu,8/12/1963,79,390,New Japan Pro Wrestling,Super Heavyweight,"Tsu, Mie",Japan,
/fighter/Yuri-Vaulin-171,171,Yuri Vaulin,,9/13/1963,76,207,,N/A,Riga,Latvia,
/fighter/Paul-Herrera-130,130,Paul Herrera,,,,,Empire Training Center,N/A,,USA,
/fighter/Misha-Cirkunov-59197,59197,Misha Cirkunov,,2/27/1987,75,205,Xtreme Couture,Light Heavyweight,Riga,Latvia,
/fighter/Nick-Sanzo-148,148,Nick Sanzo,,,69,190,,Light Heavyweight,"Niskayuna, New York",United States,
/fighter/Rainy-Martinez-152,152,Rainy Martinez,,,72,195,,Light Heavyweight,"Tucson, Arizona",United States,
/fighter/Dwayne-Cason-177,177,Dwayne Cason,,,70,212,,Heavyweight,"Fayettville, North Carolina",USA,
/fighter/Krzysztof-Jotko-53380,53380,Krzysztof Jotko,,8/19/1989,73,185,Planet Eater,Middleweight,Orneta,Poland,
/fighter/Zhikui-Yao-122383,122383,Zhikui Yao,The Conqueror,2/7/1991,67,125,,Flyweight,,China,
/fighter/Eliot-Marshall-15104,15104,Eliot Marshall,The Fire,7/7/1980,75,205,Grudge Training Center,Light Heavyweight,"Boulder, Colorado",United States,
/fighter/Jon-Madsen-48820,48820,Jon Madsen,,2/12/1980,72,222,HIT Squad,Heavyweight,"Granite City, Illinois",United States,
/fighter/Lowell-Anderson-231,231,Lowell Anderson,,,66,158,Gracie Jiu-Jitsu,Welterweight,"Fairfield, Idaho",United States,
/fighter/Reginaldo-Vieira-52454,52454,Reginaldo Vieira,,,66,125,Peso Pesado Gold Team,Flyweight,"Sao Paulo, Sao Paulo",Brazil,
/fighter/Jason-Saggo-58213,58213,Jason Saggo,,11/23/1985,71,155,Wulfrun MMA,Lightweight,"Bolton, Ontario",Canada,
/fighter/Marco-Polo-Reyes-114125,114125,Marco Polo Reyes,El Toro,,,155,,Lightweight,,Mexico,
/fighter/Edson-Mendes-Barboza-Jr-46259,46259,Edson Barboza,,1/21/1986,71,155,Ricardo Almeida Jiu-Jitsu,Lightweight,"Nova Friburgo, Rio de Janeiro",Brazil,
/fighter/Steve-Byrnes-12079,12079,Steve Byrnes,,,,185,MMA Development,Middleweight,Hawaii,United States,
/fighter/Bec-Hyatt-84964,84964,Bec Rawlings,Rowdy,2/11/1989,66,116,Gamebred Combat Club,Strawweight,"Brisbane, Queensland",Australia,
